query_idx,text_hash,true_label,risk_4d,lexical_stop,I_db,I_mem,I_sec,I_dat,neighbor_entropy,mean_distance,class_consensus,conformal_set_size,rag_uncertainty,agent_label_sim,agent_confidence_sim,token_cost_proxy,loop_retry_proxy,plan_entropy,agent_disagreement
307,3ae13c8d66431f7560b91e241af8bcbb09b1d857ddc59b033463ef4c47b92a6f,play,0.0,False,0.0,0.0,0.0,0.0,-0.0,0.213528,1.0,1,0.064058,play,0.7000000000000001,1200.0,0,-0.0,0.0
308,240a6bce342f9e7762e661ec1dec0caac20b353782f99c55924417e64100cff4,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.0,0.6,1,0.512487,pausa,0.7000000000000001,1200.0,0,0.864974,0.0
309,e12e6134c44d2a38c0aa9dd00ebcd3dcbc0d76546e4aa13007122c3c50e95dd6,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.087727,0.8,1,0.294061,play,0.7000000000000001,1200.0,0,0.455486,0.0
310,781aba4f60bc9014674505b3ee859a338f601c7a2b9e80e68d7d949c7cd8bea6,play,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.082781,0.6,2,0.411135,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
311,50df4849e1e5107a65cb526815710b964adfed4e1988b57c3c221413be0d2234,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.0,0.4,2,0.600115,pausa,0.7000000000000001,1200.0,0,0.96023,0.0
312,3a766e99381441db9b764479b45571b4bb2f7ea0e41a697e6accbcaf4c851fd1,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.0578,0.8,1,0.285083,play,0.7000000000000001,1200.0,0,0.455486,0.0
313,82a6b4eaafe5af9acd4814932fa159a69237e3633487b95590b95c6671f5d663,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.023103,0.4,2,0.607046,play,0.7000000000000001,1200.0,0,0.96023,0.0
314,44ce8b782174a468aa471d06b51bb867f9fb807fa47ee6fbd553995d22eef08c,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,1.0,0.4,2,0.900115,play,0.7000000000000001,1200.0,0,0.96023,0.0
315,ee7142a3feae2c5b4d1c6ed1dfc0828005092b7ae7d75e288bec088b9cfd4add,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.186173,0.8,1,0.323595,play,0.7000000000000001,1200.0,0,0.455486,0.0
316,eb14f5514805a51eacb0af12e690c6625e796a5a74c268dddf3767ad4945be36,pausa,0.0,False,0.0,0.0,0.0,0.0,-0.0,0.210123,1.0,1,0.063037,play,0.7000000000000001,1200.0,0,-0.0,0.0
317,5950aeefbcd88f2c08bda690437e3b9d19b8916a81b589219c714026f77217b6,pausa,0.15,True,0.5,0.0,0.0,0.0,0.864974,0.4141,0.6,1,0.636717,play,0.7000000000000001,1200.0,0,0.864974,0.0
318,2f3a2a2621f1a0a890f23798ea1a827297c40083b74d5ea4f05e08a65a85043e,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.0,0.6,1,0.512487,play,0.7000000000000001,1200.0,0,0.864974,0.0
319,27c98ec4585ce1d5b545a4839e354dfc61318d5a588bba20aa7607fe2c0e7fb2,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.0338,0.8,1,0.277883,pausa,0.7000000000000001,1200.0,0,0.455486,0.0
320,f471e869b897c40970ecad3e7dccffb45b01202fdaad2b20de89900ee099b16a,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.0,0.8,1,0.267743,play,0.7000000000000001,1200.0,0,0.455486,0.0
321,d7469d2fc8dbb4b0c26f4f742edd3cf214a8c5998c3d0e85e9bef216685947a4,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.090372,0.8,1,0.294855,stop,0.7000000000000001,1200.0,0,0.455486,0.0
322,a49d8a8cdbc6d07991e96b689b500e11d6a8366c882434bcd67132b6e1753018,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.127415,0.6,2,0.424525,play,0.7000000000000001,1200.0,0,0.612602,0.0
323,941d29fd7c4354242b72268ca2f0303df61f9d6a722179067e08233d70a37f64,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.035219,0.8,1,0.278309,pausa,0.7000000000000001,1200.0,0,0.455486,0.0
324,8c25b6baac9a2e353c1f7b390db0d4585c8ae90de5486b765131d1e38a5e58c2,stop,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.092068,0.8,1,0.295363,play,0.7000000000000001,1200.0,0,0.455486,0.0
325,a2fc1798212b31cace9fc5c748dc19193f15e1d43b24ce06d362509961cd80b9,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.143808,0.6,2,0.429443,play,0.7000000000000001,1200.0,0,0.612602,0.0
326,54fbd34cb00461b7490364e3016d3eb8368e3fd9e5cd2f3dd77a11501b65cf0c,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.229529,0.4,2,0.668973,stop,0.7000000000000001,1200.0,0,0.96023,0.0
327,3efc314aa8abacb8f732e991fefe05cea4e5235a806ba28a84fb2af22ea57674,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.079341,0.6,2,0.410103,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
328,ee28bd0218d70c1f7a117b27ad1bbbcbe3079325a1690824639a5dd592a94917,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.042221,0.6,2,0.398967,play,0.7000000000000001,1200.0,0,0.612602,0.0
