method,trial,state,objective_cv,duration_s,pruned,param_mode,param_w_base,param_w_risk,param_w_p_stop,param_w_uncertainty,param_w_rag_gap,param_w_fuzzy_stop,param_threshold_stop,param_threshold_pausa,param_risk_stop_floor,param_p_stop_floor,param_stop_cost_threshold,param_pause_uncertainty
bayes,69,TrialState.PRUNED,0.7090548215729577,0.051189,True,stop_heavy,0.2775379336455125,0.16695067337685432,0.10004364192922938,0.12873383950908257,0.11459393177979825,0.15087759950915455,0.72,0.24000000000000002,0.48,0.56,0.5,0.39999999999999997
bayes,70,TrialState.PRUNED,0.6350428210678211,0.054729,True,balanced,0.3438668986920916,0.21369332989457265,0.17315833378107665,0.15949673597248237,0.0634045818859222,0.19486315128895107,0.76,0.22,0.48,0.6,0.44,0.38
bayes,71,TrialState.COMPLETE,0.7734647944702422,0.091171,False,stop_heavy,0.40136634035917834,0.24010403733342087,0.1087005387682045,0.13281094913880997,0.028170834171742723,0.2086106724845712,0.6799999999999999,0.2,0.44000000000000006,0.56,0.48,0.39999999999999997
bayes,72,TrialState.COMPLETE,0.7759873245274486,0.091907,False,stop_heavy,0.4041969662530974,0.20937713741860517,0.10509396257292333,0.09673269690709888,0.033132679468130755,0.18478588945871713,0.6799999999999999,0.2,0.44000000000000006,0.56,0.48,0.39999999999999997
bayes,73,TrialState.COMPLETE,0.7759873245274486,0.08978,False,stop_heavy,0.4144260163778931,0.13855528960930877,0.12393833901277358,0.05118423394776257,0.0469094472374277,0.18461670685984155,0.6799999999999999,0.2,0.44000000000000006,0.56,0.48,0.42
bayes,74,TrialState.COMPLETE,0.7681876637619208,0.089124,False,stop_heavy,0.4168566248281632,0.1369613227087489,0.12130192874090023,0.05231648045264684,0.0404110248083271,0.1751154954903693,0.6599999999999999,0.2,0.4,0.52,0.45999999999999996,0.44
bayes,75,TrialState.COMPLETE,0.7754730997796203,0.092409,False,stop_heavy,0.39161274498813897,0.14921974501929938,0.11596371154605982,0.06317692656085293,0.045804681510730125,0.1752795250979472,0.6799999999999999,0.22,0.44000000000000006,0.56,0.48,0.42
bayes,76,TrialState.COMPLETE,0.7618847296584493,0.104234,False,stop_heavy,0.4229705454074324,0.14649990870559462,0.1317904173507118,0.06464499999993668,0.0517891700507463,0.18409064182888096,0.6799999999999999,0.22,0.4,0.56,0.5,0.42
bayes,77,TrialState.PRUNED,0.716042819686224,0.060508,True,stop_heavy,0.39098302952015396,0.12588098077408644,0.1416339254008856,0.07616962166606794,0.03390876617891349,0.17192138174819688,0.6599999999999999,0.26,0.44000000000000006,0.52,0.5,0.44
bayes,78,TrialState.PRUNED,0.8569616309373685,0.043385,True,stop_heavy,0.32694835219538676,0.14038251894704484,0.12434363768980665,0.059042945649220344,0.07250243453457933,0.185713995154389,0.62,0.24000000000000002,0.44000000000000006,0.56,0.48,0.42
bayes,79,TrialState.COMPLETE,0.7608667691667664,0.057418,False,stop_heavy,0.4048685103321346,0.1501008192807861,0.11461539544900995,0.07111670780076233,0.021268035446266043,0.15593242500061325,0.7,0.22,0.4,0.52,0.52,0.42
