query_idx,query_hash,true_label,neighbor_entropy,neighbor_mean_distance,neighbor_mean_similarity,neighbor_n_play,neighbor_n_pausa,neighbor_n_stop,neighbor_majority_label,retrieval_backend
84,99b81a6b2df817378edf18209326bdb02a5965e27f0aae12b4f1ce80e5ab9ae1,pausa,1.5219280948873621,0.15030969635658925,0.8496903036434107,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
85,7386e6e9e23bd952ad8ffa1ae0ed68b0b9ae3d93ba1682bc52c6d8a3a050dcfc,pausa,0.7219280948873623,0.22093026297849425,0.7790697370215058,1,4,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
86,f6b84a49d033d3bfa9508f9be589d52ac77005138633aea036b13a16ca9c9419,pausa,0.9709505944546686,0.0,1.0,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
87,a52e2d75e4cf740f6788c75d7572200271f0f7dabf041cb752aedfb145414089,pausa,0.7219280948873623,0.0,1.0,1,4,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
88,3ca30e82bf8327bae125ac378dadfeaae67c7f42b3e431f47b95a2d948af045e,pausa,0.9709505944546686,0.2379601831718951,0.7620398168281048,3,2,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
89,4ccb500ba4e2358a71c3e90e9a53255b429e6eee38fc5448afffcad25ace0596,pausa,0.9709505944546686,0.01967994057623206,0.980320059423768,3,2,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
90,d302bd17de4f7a695a87c21551c6331d5a3fa8ff8c63aa52ab5b089923d7e30b,pausa,0.9709505944546686,0.018850383534304793,0.9811496164656951,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
91,1990ca693119faca84520cd0b206e9bc2d6d114237a848ddacbab6d789e99960,pausa,1.3709505944546687,0.12846244072276897,0.871537559277231,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
92,7796aa1fc314ead35110feed7d70de944725df2dad87cafd3efb055cbde707c0,pausa,0.9709505944546686,0.12295436047394057,0.8770456395260593,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
93,d002463a8be47bd70ddabdb485a2c022f633e40a70739def8143af42830dd8e1,pausa,-0.0,0.23822380760262346,0.7617761923973765,5,0,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
94,9f7cc071df506aeeae61bdb2992b93e5d713004926220f1c372b9bfe9d875bcf,pausa,1.5219280948873621,0.11931701485747001,0.8806829851425299,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
95,5142721eb544fc10c99ec0ec22015a194c9bf5bed81eef7f7406736f0406383a,pausa,1.5219280948873621,0.11439912842038795,0.885600871579612,2,1,2,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
96,cccfd6956cb178ea9e30d89f430c5fe09829e9d99b32679d843963e95a890694,stop,-0.0,1.1102230246251565e-16,0.9999999999999998,0,0,5,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
97,ffc199f69dbe0c19a5f00c8d8f8200a395760168ac2e8fbc99947929e80567f8,stop,0.9709505944546686,0.13631797376867705,0.863682026231323,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
